steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_kl	average_policy_step_size
8752168	3103	29471.261770248413	1428.0	1435.0	530.9488362042681	2170.0	750.0	127.991005	0.814727620370686	0.0039811420254409315	1.0
8803296	3119	29643.20771741867	1455.0	1030.0	1019.0327658018548	3460.0	610.0	0.43590942	1.2174223839193583	0.0039935815706849094	1.0
8850545	3136	29801.192354917526	986.0	905.0	451.5947052145073	1840.0	490.0	36.59388	0.9810048182457686	0.004002791971433908	1.0
8901627	3154	29964.682013750076	1251.0	1305.0	556.5858224728489	1930.0	180.0	171.05972	0.5512797480896116	0.003988842973485589	1.0
8952406	3173	30133.376020669937	1428.0	1115.0	911.1384819736973	3770.0	480.0	115.959045	0.9086649828031659	0.00394890230614692	1.0
9002046	3189	30299.32121038437	1315.0	1155.0	563.5650411048892	2300.0	650.0	204.5161	0.9037934605032205	0.0039277729042805735	1.0
9052664	3207	30469.07195830345	962.0	1015.0	345.60092592468555	1390.0	450.0	65.07138	1.122198633670807	0.003937756351660937	1.0
9100728	3223	30629.120631933212	1166.0	1125.0	358.58363351137797	1740.0	680.0	76.16967	1.2830782448649407	0.003946651425212622	1.0
9151626	3241	30802.873584985733	1532.0	1135.0	896.2365759106242	3580.0	750.0	111.915016	0.8150214658677578	0.003948428151197732	1.0
9201250	3257	30961.74109697342	1184.0	1110.0	488.1757424898902	2210.0	430.0	147.92627	1.0302096126675606	0.0038948078383691607	1.0
9253035	3274	31128.896347284317	1167.0	1240.0	361.44924340155364	1980.0	770.0	64.96105	1.086129335463047	0.0038904283614829183	1.0
9301731	3290	31287.267514944077	1270.0	1165.0	617.6838457765698	2400.0	320.0	275.54425	0.8903139761090278	0.0038808935205452144	1.0
9350035	3306	31448.179760217667	1198.0	1190.0	508.7632062168018	2370.0	490.0	109.27012	0.5872525699660182	0.0039042300800792872	1.0
9402438	3325	31618.288090229034	1333.0	1035.0	866.9108630328983	3640.0	720.0	82.64101	1.0200115884542464	0.0038968827296048405	1.0
9452383	3342	31787.105670928955	1181.0	1025.0	425.8703506415486	2320.0	920.0	38.007843	0.8325351849608124	0.003951289479155093	1.0
9500994	3361	31953.15108370781	1321.0	1200.0	905.077651671698	3490.0	350.0	15.275393	0.844120732177049	0.003977860652375966	1.0
9550643	3378	32118.642896175385	1328.0	1280.0	452.9361004723637	2090.0	800.0	44.140045	0.8412394946813584	0.003963360234629363	1.0
9600675	3394	32281.504620075226	1007.0	1055.0	287.7904330121718	1430.0	510.0	177.9874	0.9328942458555103	0.003968122806400061	1.0
9650788	3411	32444.964073896408	1327.0	1340.0	574.824610932181	2090.0	290.0	187.32793	0.786303152911365	0.003983989639673382	1.0
9700110	3429	32605.63382411003	1008.0	1005.0	340.74428339543226	1750.0	540.0	58.466545	0.7779798704748974	0.004016297229100019	1.0
9752192	3447	32779.99674534798	1140.0	1145.0	346.3460055429477	1960.0	760.0	252.97055	0.9820216819047928	0.003988490565679967	1.0
9800065	3464	32943.34052968025	1215.0	1125.0	516.0157189681553	2100.0	560.0	15.332119	0.585131183270365	0.003992042711470276	1.0
9850795	3482	33116.27661538124	1184.0	1220.0	321.11610914987676	1540.0	550.0	154.21559	0.9197393705323339	0.003987720685545355	1.0
9901916	3499	33287.21258354187	1315.0	1375.0	361.4861300551132	1840.0	770.0	231.51564	1.0152588123083115	0.004018741070758551	1.0
9951163	3514	33457.760662555695	1306.0	1160.0	474.01828375425913	2030.0	810.0	81.401665	0.7683527261316776	0.004044857013504952	1.0
10003069	3531	33624.32381105423	1182.0	1205.0	427.88368097468316	1890.0	640.0	233.71727	1.059749398112297	0.004042037851177156	1.0
10050180	3546	33784.496748209	1416.0	1115.0	706.4496522124639	2570.0	750.0	16.637287	0.9967769228965044	0.0040401927311904725	1.0
